Category,Dataset.title,Version,Contact.organisation,Dataset.ID,Associated.metadata.,Webpage.and.or.download,Factsheet.URL,Marine.Spatial.Planning...Policy,Education,Environmental.Impact...high.level.screening,Ecosystem.health...assessment,Ecosystem.services.and.blue.carbon
Biogenic habitat,Coral Trait Database,2017,Macquarie University,1,FALSE,https://www.nature.com/articles/sdata201617#data-records,,FALSE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Coral Reefs (2010),2,UN Environment World Conservation Monitoring Centre,2,TRUE,http://data.unep-wcmc.org/datasets/1,http://wcmc.io/warm_coral_reef,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Coral Reefs - 1 Km Data (2003),7,UN Environment World Conservation Monitoring Centre,3,TRUE,http://wcmc.io/metadata,http://wcmc.io/warm_coral_reef,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Cold-water Corals (2017),4,UN Environment World Conservation Monitoring Centre,4,TRUE,http://data.unep-wcmc.org/datasets/3,http://wcmc.io/cold-coral,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Habitat Suitability for Framework-Forming Cold-Water Corals (2011),1,"School of Ocean Sciences, University of Bangor",5,TRUE,http://doi.pangaea.de/10.1594/PANGAEA.775081,http://wcmc.io/cold-coral,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distribution of Habitat Suitability for Stony Corals on Seamounts (2009),2009,UN Environment World Conservation Monitoring Centre,6,FALSE,,http://wcmc.io/seamounts,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,Global Distributions of Habitat Suitability for Cold-Water Octocorals (2012),1.0 (2012),"Institute of Zoology, Zoological Society of London",7,TRUE,http://data.unep-wcmc.org/datasets/40,http://wcmc.io/cold-coral,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Modelled Spatial Distributions of Coralligenous and Maërl Habitats (2014),2014,UN Environment World Conservation Monitoring Centre,8,TRUE,http://www.emodnet-seabedhabitats.eu/default.aspx?page=1974,,TRUE,FALSE,TRUE,TRUE,TRUE
Biogenic habitat,Global Distribution of Mangroves USGS (2011),1.3 (June 2015),UN Environment World Conservation Monitoring Centre,9,TRUE,http://data.unep-wcmc.org/datasets/4,http://wcmc.io/mangroves,TRUE,TRUE,TRUE,TRUE,TRUE
Biogenic habitat,Global Spatiotemporal Database of Mangrove Forest Cover (2014),2014,Salisbury University,10,FALSE,http://arxiv.org/abs/1412.0722,,TRUE,FALSE,FALSE,TRUE,TRUE
Biogenic habitat,World Atlas of Mangroves (2010),2,UN Environment World Conservation Monitoring Centre,11,TRUE,http://data.unep-wcmc.org/datasets/5,http://wcmc.io/mangroves,TRUE,TRUE,TRUE,TRUE,TRUE
